DATAFLOW,LAST UPDATE,freq,indic_is,ind_type,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2007,2.05,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2008,2.35,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2009,3.24,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2010,3.78,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2011,5.26,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2012,4.17,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2013,4.81,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2014,3.84,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2015,4.63,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2016,6.98,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2017,7.48,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2018,12.55,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Cyprus,2019,7.50,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2004,2.35,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2005,2.55,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2006,5.75,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2007,8.05,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2008,9.39,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2009,11.57,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2010,12.70,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2011,14.17,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2012,15.07,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2013,14.92,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2014,17.17,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2015,19.25,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2016,18.38,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2017,21.49,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2018,21.23,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Czechia,2019,21.44,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2004,8.56,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2005,10.17,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2006,10.55,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2007,10.83,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2008,10.83,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2009,11.07,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2010,11.25,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2011,10.06,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2012,9.42,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2013,8.76,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2014,9.02,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2015,9.24,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2016,9.67,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2017,8.56,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2018,8.94,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Germany,2019,8.40,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2004,20.16,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2005,22.17,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2006,24.55,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2007,12.89,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2008,12.31,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2009,13.68,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2010,13.53,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2011,12.72,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2012,12.96,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2013,12.42,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2014,11.29,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2015,11.54,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2016,10.39,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2017,11.37,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2018,11.35,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,Denmark,2019,10.26,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2005,6.08,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2006,6.21,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2007,7.53,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2008,8.63,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2009,9.01,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2010,9.84,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2011,9.65,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2012,9.97,,
ESTAT:ISOC_EC_IBUY(1.0),16/06/24 23:00:00,Annual,Last online purchase: between 3 and 12 months ago,All individuals,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2013,9.86,,
